Sample Number,CoverType,PolicyStartDate,Registration,Vehicle_year,Manufacturer,Model,Type,Series,Body,Engine,Gas,CC,Gearbox,Modifications,Immobiliser_alarm,BusinessUser,Unit_number,Street_number,Street_name,Street_type,Suburb,Postcode,City,Age,DOB,Licence,License Suspended in Last 7 Years,NZ_citizen_or_resident,Visa_at_least_1_year,License_years_TOWER,Gender,First_name,Surname,Email,Phone Number,FinancePurchase,Finance Bank,Policy Owned by a Business or Trust,Insurance Refused In Last 7 Years,Claim Refused In Last 7 Years,Crime in Last 7 Years,Incidents_last3years_AA,Incidents_last5years_AMISTATE,Month Since Last Claim,Date_of_incident1,Date_of_incident2,Date_of_incident3,Date_of_incident4,Date_of_incident5,Type_incident,OtherPolicies,Additional Drivers,ExcludeUnder25,AgreedValue,Excess,AAMember,CurrentInsurer,AA_monthly_premium,AA_yearly_premium,AA_agreed_value_minimum,AA_agreed_value_maximum,AA_Error_code,AA_selected_car_variant,AA_selected_address,AMI_monthly_premium,AMI_yearly_premium,AMI_agreed_value_minimum,AMI_agreed_value_maximum,AMI_Error_code,AMI_selected_car_variant,AMI_selected_address,AMI_No_claims_bonus,Tower_monthly_premium,Tower_yearly_premium,Tower_agreed_value_minimum,Tower_agreed_value_maximum,Tower_Error_code,Tower_selected_car_variant,Tower_selected_address
10001,Comprehensive Car Insurance,18/03/2024,etg624,1999,Nissan,Bluebird,Eprise,nan,Sedan,Aspirated,Petrol,1838,4 Sp Automatic,No,Yes,No,nan,8D,KOTUKU,STREET,FRANKTON ,3204, WAIKATO,39,1985-03-13,LEARNERS LICENCE,NO,Yes,nan,23,FEMALE,Jane,Doe,Jane.Doe@email.com,22123456,NO,nan,NO,NO,NO,NO,0,0,nan,NaT,NaT,NaT,NaT,NaT,nan,No,No,Yes,3020,500,No,NONE,58.64,637.25,1,6650,No Error,1999 NISSAN BLUEBIRDAutomatic Petrol 4 Cylinders Sedan EPRISE 4DR AUTO 4SP 1.8I (IMP) 1.8 Litre,"8 KOTUKU STREET , FRANKTON, 3204",43.98,493.7,2513,4020,No Error,"Nissan Bluebird 1999 Nissan, Bluebird, 1999, SEDAN, Eprise, Automatic, Front Wheel Drive, 1838cc/1.8L, Petrol, 4dr","KOTUKU STREET, FRANKTON, HAMILTON 3204",60%,64.0,692.61,1700,4500,No Error,Nissan Bluebird 1999 Eprise Sedan 4dr Auto 4sp 1.8i [IMP],"Unit , 8D Kotuku Street, Frankton, Hamilton 3204"
10002,Comprehensive Car Insurance,18/03/2024,nan,2002,Toyota,Corolla,Fielder,nan,Wagon,Aspirated,Petrol - Unleaded ULP,1794,4 Sp Automatic,No,Yes,No,nan,20,CORNWALL,ROAD,RAGLAN ,3295, WAIKATO,31,1993-03-13,NEW ZEALAND FULL LICENCE,NO,Yes,nan,15,FEMALE,Jane,Doe,Jane.Doe@email.com,22123456,NO,nan,NO,NO,NO,NO,0,0,nan,NaT,NaT,NaT,NaT,NaT,nan,No,No,Yes,5480,500,No,NONE,64.26,698.14,1,7900,Several Car Variant Options Warning,2002 TOYOTA COROLLA Automatic Petrol 4 Cylinders Wagon FIELDER 5DR AUTO 4SP 1.8I (IMP) 1.8 Litre,"20 CORNWALL ROAD , RAGLAN, 3295",54.2,608.33,3525,5640,No Error,"Toyota Corolla 2002 Toyota, Corolla, 2002, WAGON, Fielder, Automatic, Front Wheel Drive, 1794cc/1.8L, Petrol, 5dr","CORNWALL ROAD, RD 1, RAGLAN 3295",60%,75.49,818.87,2350,6300,No Error,Toyota Corolla 2002 Fielder Wagon 5dr Auto 4sp 1.8i [IMP],"Unit , 20 Cornwall Road, Raglan, Raglan 3295"
10003,Comprehensive Car Insurance,18/03/2024,nan,2005,Nissan,Tiida,nan,nan,Hatchback,Aspirated,Petrol - Unleaded ULP,1798,4 Sp Automatic,No,Yes,No,B,37,HOBART,DRIVE,SPOTSWOOD ,4310, TARANAKI,42,1982-03-13,NEW ZEALAND FULL LICENCE,NO,Yes,nan,26,FEMALE,Jane,Doe,Jane.Doe@email.com,22123456,NO,nan,NO,NO,NO,NO,1,1,8.0,2023/07/13,NaT,NaT,NaT,NaT,At fault - other vehicle involved,No,No,Yes,5400,500,No,NONE,75.64,821.7,1,8200,Several Car Variant Options Warning,2005 NISSAN TIIDA Automatic 1.5 Litre Petrol 4 Cylinders Hatchback 5DR AUTO 4SP 1.5I (IMP),"37 HOBART DRIVE , SPOTSWOOD, 4310",81.5,914.54,4013,6420,No Error,"Nissan Tiida 2005 Nissan, Tiida, 2005, HATCHBACK, 18G, Constantly variable, Front Wheel Drive, 1798cc/1.8L, Petrol, 5dr","HOBART DRIVE, SPOTSWOOD, NEW PLYMOUTH 4310",40%,-1.0,-1.0,2700,7150,No Error,Nissan Tiida 2005 C11 18G Hatchback 5dr CVT 1sp 1.8i [IMP],"Unit B, 37 Hobart Drive, Spotswood, New Plymouth 4310"
10004,Comprehensive Car Insurance,18/03/2024,kmt976,2008,Toyota,Hiace,DX,nan,Van,Aspirated,Petrol,1990,4 Sp Automatic,No,Yes,No,A,133,SEABROOK,AVENUE,NEW LYNN ,600, AUCKLAND,47,1977-03-13,NEW ZEALAND FULL LICENCE,NO,Yes,nan,31,FEMALE,Jane,Doe,Jane.Doe@email.com,22123456,NO,nan,NO,NO,NO,NO,1,1,10.0,2023/05/13,NaT,NaT,NaT,NaT,Not at fault - other vehicle involved,No,No,Yes,19340,500,No,NONE,116.54,1265.44,9125,27375,No Error,2008 TOYOTA HIACEAutomatic 4 Cylinders Van DX 10ST 4DR AUTO 4SP 2.0I (IMP) 2.0 Litre Petrol,"133 SEABROOK AVENUE , NEW LYNN, 0600",90.91,1020.02,15600,24960,No Error,"Toyota Hiace 2008 Toyota, Hiace, 2008, VAN, DX, Automatic, Rear Wheel Drive, 1990cc/2.0L, Petrol, 4dr","SEABROOK AVENUE, NEW LYNN, AUCKLAND 0600",60%,143.6,1561.88,10400,27100,No Error,Toyota Hiace 2008 DX Van 10st 4dr Auto 4sp 2.0i [IMP],"Unit A, 133 Seabrook Avenue, New Lynn, Auckland 0600"
10005,Comprehensive Car Insurance,18/03/2024,nan,2007,Mazda,Axela,15C,nan,Sedan,Aspirated,Petrol,1498,4 Sp Automatic,No,Yes,No,3,123B,STANCOMBE,ROAD,FLAT BUSH ,2016, AUCKLAND,46,1978-03-13,NEW ZEALAND FULL LICENCE,NO,Yes,nan,30,MALE,John,Doe,John.Doe@email.com,22123456,NO,nan,NO,NO,NO,NO,0,0,nan,NaT,NaT,NaT,NaT,NaT,nan,No,No,Yes,8855,500,No,NONE,75.36,818.64,900,10900,No Error,2007 MAZDA AXELAAutomatic Petrol 4 Cylinders Sedan BK5P 15C 4DR AUTO 4SP 1.5I (IMP) 1.5 Litre,"123 STANCOMBE ROAD , FLAT BUSH, 2016",70.18,787.45,5925,9480,No Error,"Mazda Axela 2007 Mazda, Axela, 2007, SEDAN, 15C, Automatic, Front Wheel Drive, 1498cc/1.5L, Petrol, 4dr","123B STANCOMBE ROAD FLAT BUSH, AUCKLAND 2016",60%,98.53,1070.27,3950,10550,No Error,Mazda Axela 2007 BK5P 15C Sedan 4dr Auto 4sp 1.5i [IMP],"Unit 3, 123B Stancombe Road, Flat Bush, Auckland 2016"
10006,Comprehensive Car Insurance,18/03/2024,nan,2002,Toyota,Allex,nan,nan,Hatchback,Aspirated,Petrol - Unleaded ULP,1496,4 Sp Automatic,No,Yes,No,nan,29A,NEW BOND,STREET,KINGSLAND ,1021, AUCKLAND,28,1996-03-13,NEW ZEALAND FULL LICENCE,NO,Yes,nan,12,FEMALE,Jane,Doe,Jane.Doe@email.com,22123456,NO,nan,NO,NO,NO,NO,0,0,nan,NaT,NaT,NaT,NaT,NaT,nan,No,No,Yes,3638,500,No,NONE,74.63,810.73,1,8050,No Error,2002 TOYOTA ALLEXAutomatic Petrol 4 Cylinders Hatchback NZE121 XS150 5DR AUTO 4SP 1.5I (IMP) 1.5 Litre,"29 NEW BOND STREET , KINGSLAND, 1021",57.02,639.89,3638,5820,No Error,"Toyota Allex 2002 Toyota, Allex, 2002, HATCHBACK, XS150, Automatic, Front Wheel Drive, 1496cc/1.5L, Petrol, 5dr","NEW BOND STREET, KINGSLAND, AUCKLAND 1021",60%,-1.0,-1.0,-1,-1,No Error,Toyota Allex 2002 NZE121 XS150 Hatchback 5dr Auto 4sp 1.5i [IMP],"Unit , 29A New Bond Street, Kingsland, Auckland 1021"
10338,Comprehensive Car Insurance,18/03/2024,hzn55,2014,Volvo,V40,Cross Country Geartronic AWD,526,Hatchback,Turbo Intercooled,Petrol - Unleaded ULP,1969,8 Sp Sports Automatic,No,Yes,No,nan,9,THE,ANCHORAGE,HARURU ,204, NORTHLAND,71,1953-03-13,NEW ZEALAND FULL LICENCE,NO,Yes,nan,55,MALE,John,Doe,John.Doe@email.com,22123456,NO,nan,NO,NO,NO,NO,1,1,31.0,2021/08/13,NaT,NaT,NaT,NaT,Not at fault - no other vehicle involved,No,No,Yes,8820,500,No,NONE,119.26,1294.96,8200,24600,Several Car Variant Options Warning,2014 VOLVO V40 Sports Automatic Hatchback 526 CROSS COUNTRY D4 5DR GEARTRONIC 8SP 2.0DTTI 2.0 Litre DIESEL 4 Cylinders,"9 THE ANCHORAGE , HARURU, 0204",84.49,948.03,13088,20940,No Error,"Volvo V40 2014 Volvo, V40, 2014, HATCHBACK, Cross Country Geartronic AWD, Automatic, Four Wheel Drive, 1969cc/2.0L, Petrol, 5dr","THE ANCHORAGE null, HARURU 0204",60%,-1.0,-1.0,-1,-1,No Error,,
10008,Comprehensive Car Insurance,18/03/2024,czh731,2005,Honda,Accord Euro,S,nan,Sedan,Aspirated,Petrol,2400,5 Sp Automatic,No,Yes,No,4,27,HILDA,STREET,FENTON PARK ,3010, BAY OF PLENTY,50,1974-03-13,NEW ZEALAND FULL LICENCE,NO,Yes,nan,34,FEMALE,Jane,Doe,Jane.Doe@email.com,22123456,YES,ANZ,NO,NO,NO,NO,0,0,nan,NaT,NaT,NaT,NaT,NaT,nan,No,No,Yes,53813,500,No,NONE,-1.0,-1.0,-1,-1,Webiste Does Not Quote For This Car Variant/ Person,2005 HONDA ACCORD EURO Automatic 4 Cylinders Sedan S 4DR AUTO 5SP 2.4I 2.4 Litre Petrol,"Unit 27, 22 Hilda St, Fenton Park Rotorua, 3010",55.43,622.17,5513,8820,Several Car Variant Options Warning,"Honda Accord Euro 2005 Honda, Accord Euro, 2005, SEDAN, S, Automatic, Front Wheel Drive, 2400cc/2.4L, Petrol, 4dr","HILDA STREET, FENTON PARK, ROTORUA 3010",60%,79.78,865.65,3700,9800,No Error,Honda Accord Euro 2005 S Sedan 4dr Auto 5sp 2.4i,"Unit 4, 27 Hilda Street, Fenton Park, Rotorua 3010"
10009,Comprehensive Car Insurance,18/03/2024,nan,2011,Nissan,GT-R,Premium,R35 ,Coupe,Twin Turbo Intercooled,Petrol - Unleaded ULP,3799,6 Sp Seq. Manual Auto-Dual Clutch,No,Yes,No,nan,97,KING EDWARD,STREET,MOTUEKA ,7120, TASMAN,27,1997-03-13,NEW ZEALAND FULL LICENCE,NO,Yes,nan,11,MALE,John,Doe,John.Doe@email.com,22123456,YES,ANZ,NO,NO,NO,NO,1,1,6.0,2023/09/13,NaT,NaT,NaT,NaT,Not at fault - other vehicle involved,No,No,Yes,16380,500,No,NONE,-1.0,-1.0,-1,-1,Unknown Error,,,185.16,2077.06,53813,86100,No Error,"Nissan GT-R 2011 Nissan, GT-R, 2011, COUPE, Premium DCT AWD, Semi-automatic, Four Wheel Drive, 3799cc/3.8L, Petrol, 2dr","KING EDWARD STREET, MOTUEKA 7120",60%,-1.0,-1.0,33750,87750,No Error,Nissan Gt-R 2011 R35 Premium Coupe 2dr DCT 6sp AWD 3.8TTI,"Unit , 97 King Edward Street, Motueka, Motueka 7120"
10010,Comprehensive Car Insurance,18/03/2024,nan,2006,Nissan,350Z,nan,Z33 ,Roadster,Aspirated,Petrol - Premium ULP,3498,6 Sp Manual,No,Yes,No,nan,28,HUIA,STREET,WAIUKU ,2123, WAIKATO,38,1986-03-13,NEW ZEALAND FULL LICENCE,NO,Yes,nan,22,MALE,John,Doe,John.Doe@email.com,22123456,YES,ANZ,NO,NO,NO,NO,1,1,26.0,2022/01/13,NaT,NaT,NaT,NaT,Not at fault - other vehicle involved,No,No,Yes,13088,500,No,NONE,104.45,1134.22,5900,17700,Several Car Variant Options Warning,2006 NISSAN 350Z Manual 3.5 Litre Petrol - Premium 6 Cylinders Roadster Z33 2DR MAN 6SP 3.5I,"28 HUIA STREET , WAIUKU, 2123",88.0,987.33,10238,16380,Several Car Variant Options Warning,"Nissan 350Z 2006 Nissan, 350Z, 2006, ROADSTER, Touring, Manual, Rear Wheel Drive, 3498cc/3.5L, Petrol, 2dr",28 HUIA STREET WAIUKU 2123,60%,133.81,1455.14,7300,19300,No Error,Nissan 350Z 2006 Z33 Roadster 2dr Man 6sp 3.5i,"Unit , 28 Huia Street, Waiuku, Waiuku 2123"
